OrderID,OrderDate,Origin,Destination,Weight_kg,VehicleType,FreightCost_USD,DeliveryStatus,CustomerRating
ORD00001,2023-09-03,Los Angeles,Seattle,190.4,Van,356.1,Delivered,4.0
ORD00002,2023-09-16,Los Angeles,Seattle,475.6,Air,1228.86,Delayed,4.0
ORD00003,2023-07-31,Chicago,Seattle,367.34,Train,1192.35,Delivered,5.0
ORD00004,2023-03-02,New York,Seattle,301.34,Truck,893.31,Delivered,4.0
ORD00005,2023-08-25,New York,Miami,82.23,Air,255.99,Delayed,4.0
ORD00006,2023-09-19,Houston,Seattle,82.22,Van,231.66,Delivered,5.0
ORD00007,2023-11-10,Los Angeles,Atlanta,33.75,Train,97.35,Delivered,4.0
ORD00008,2023-01-19,Houston,Atlanta,433.76,Truck,1387.33,Delayed,5.0
ORD00009,2023-01-15,Los Angeles,Seattle,302.55,Train,604.9,Delayed,2.0
ORD00010,2023-04-15,Houston,Seattle,355.5,Train,881.23,Delivered,4.0
ORD00011,2023-03-30,Chicago,Boston,15.19,Air,29.51,In Transit,1.0
ORD00012,2023-01-13,Phoenix,Boston,485.11,Van,1685.92,Delayed,2.0
ORD00013,2023-06-12,Phoenix,Boston,417.06,Van,1413.05,In Transit,5.0
ORD00014,2023-09-23,New York,Miami,110.11,Air,173.85,Delivered,3.0
ORD00015,2023-02-09,Phoenix,Miami,95.0,Truck,276.56,Delivered,4.0
ORD00016,2023-06-18,Chicago,Miami,95.79,Train,320.94,In Transit,4.0
ORD00017,2023-05-31,Los Angeles,Seattle,155.6,Van,289.6,In Transit,4.0
ORD00018,2023-12-25,Houston,Atlanta,264.75,Train,697.85,Delivered,5.0
ORD00019,2023-05-16,Phoenix,Miami,218.81,Air,728.85,Delivered,1.0
ORD00020,2023-02-07,New York,Denver,149.16,Train,233.87,Delivered,5.0
ORD00021,2023-11-08,Houston,Denver,307.87,Train,891.23,Delivered,5.0
ORD00022,2023-07-23,New York,Denver,74.05,Train,155.11,Delivered,4.0
ORD00023,2023-01-19,New York,Boston,149.61,Van,501.01,Delivered,5.0
ORD00024,2023-09-27,Phoenix,Boston,186.35,Air,641.44,Delivered,2.0
ORD00025,2023-05-05,Houston,Denver,230.75,Train,781.9,Delivered,4.0
ORD00026,2023-04-19,Los Angeles,Boston,393.66,Truck,963.85,Delivered,4.0
ORD00027,2023-01-02,Los Angeles,Atlanta,103.84,Air,334.79,Delivered,5.0
ORD00028,2023-08-07,Phoenix,Miami,259.55,Air,827.73,Delayed,5.0
ORD00029,2023-01-05,Houston,Miami,298.25,Van,637.72,Delivered,4.0
ORD00030,2023-02-07,Houston,Boston,27.99,Van,88.39,Delivered,5.0
ORD00031,2023-11-30,Los Angeles,Atlanta,305.73,Air,481.22,Delivered,3.0
ORD00032,2023-05-03,Houston,Denver,89.41,Air,240.74,In Transit,4.0
ORD00033,2023-10-11,Chicago,Boston,37.2,Air,72.91,In Transit,4.0
ORD00034,2023-04-15,New York,Boston,474.7,Train,826.52,Delivered,5.0
ORD00035,2023-11-09,Houston,Denver,482.99,Train,798.82,Delivered,5.0
ORD00036,2023-03-30,Chicago,Boston,405.16,Van,1171.96,Cancelled,4.0
ORD00037,2023-06-15,Chicago,Miami,155.78,Air,339.56,Delivered,3.0
ORD00038,2023-04-30,Los Angeles,Boston,53.35,Truck,157.36,Delivered,3.0
ORD00039,2023-06-08,Chicago,Boston,343.7,Truck,560.48,Delivered,4.0
ORD00040,2023-07-05,New York,Denver,222.88,Air,474.86,Delivered,4.0
ORD00041,2023-12-21,Phoenix,Denver,65.41,Truck,168.69,Delivered,5.0
ORD00042,2023-01-09,Chicago,Miami,250.11,Air,770.7,Delivered,4.0
ORD00043,2023-01-25,Houston,Miami,22.02,Truck,47.07,Delivered,4.0
ORD00044,2023-05-21,Phoenix,Seattle,455.11,Train,1252.36,In Transit,3.0
ORD00045,2023-08-29,New York,Miami,133.1,Air,435.5,Delivered,5.0
ORD00046,2023-05-03,Chicago,Atlanta,332.95,Van,909.53,Delivered,5.0
ORD00047,2023-11-13,Chicago,Denver,159.3,Van,313.17,Delivered,2.0
ORD00048,2023-12-18,Los Angeles,Boston,262.43,Van,406.45,Delivered,5.0
ORD00049,2023-06-20,Los Angeles,Atlanta,275.62,Train,893.06,Delivered,4.0
ORD00050,2023-03-13,Los Angeles,Denver,96.5,Train,148.85,Delivered,2.0
ORD00051,2023-11-12,Houston,Atlanta,484.94,Air,1575.77,In Transit,4.0
ORD00052,2023-10-19,Houston,Miami,388.69,Air,994.22,Delivered,4.0
ORD00053,2023-06-26,Phoenix,Seattle,470.05,Air,1587.89,Delivered,3.0
ORD00054,2023-04-21,Houston,Denver,447.94,Train,1387.52,Delivered,5.0
ORD00055,2023-08-11,New York,Boston,300.96,Air,1052.12,Cancelled,5.0
ORD00056,2023-02-27,Los Angeles,Seattle,461.33,Truck,1015.58,In Transit,5.0
ORD00057,2023-05-08,Phoenix,Seattle,48.8,Truck,148.08,Delivered,4.0
ORD00058,2023-10-08,New York,Miami,102.01,Air,235.02,Delivered,4.0
ORD00059,2023-04-04,Chicago,Atlanta,27.39,Van,67.37,Delivered,5.0
ORD00060,2023-03-21,Chicago,Boston,166.04,Train,457.44,In Transit,4.0
ORD00061,2023-05-01,Los Angeles,Miami,197.4,Truck,641.03,Delivered,2.0
ORD00062,2023-12-10,Chicago,Miami,139.32,Van,483.19,Delivered,4.0
ORD00063,2023-07-18,Los Angeles,Miami,415.23,Van,1260.87,In Transit,5.0
ORD00064,2023-12-08,Houston,Seattle,181.59,Van,424.11,In Transit,4.0
ORD00065,2023-12-19,Chicago,Atlanta,144.06,Air,337.49,Delivered,2.0
ORD00066,2023-12-19,Houston,Seattle,273.63,Van,814.09,Delivered,
ORD00067,2023-12-24,Los Angeles,Boston,74.76,Truck,147.84,In Transit,4.0
ORD00068,2023-09-02,Los Angeles,Seattle,402.09,Air,691.98,Delivered,4.0
ORD00069,2023-01-01,New York,Denver,41.9,Train,92.57,Delivered,3.0
ORD00070,2023-07-27,Los Angeles,Seattle,493.51,Truck,1023.78,In Transit,4.0
ORD00071,2023-08-05,Houston,Seattle,387.26,Train,810.39,Delivered,5.0
ORD00072,2023-06-26,Los Angeles,Boston,103.36,Van,203.33,Delivered,4.0
ORD00073,2023-01-17,Phoenix,Boston,7.73,Air,12.25,Delivered,4.0
ORD00074,2023-11-24,Houston,Denver,408.65,Van,627.58,In Transit,5.0
ORD00075,2023-02-17,Phoenix,Boston,354.89,Truck,1233.4,Delayed,5.0
ORD00076,2023-04-15,Houston,Denver,365.86,Air,861.8,Delayed,5.0
ORD00077,2023-04-01,Phoenix,Seattle,386.78,Van,877.47,Delivered,4.0
ORD00078,2023-09-30,New York,Denver,41.65,Van,119.09,Delayed,4.0
ORD00079,2023-01-05,Houston,Seattle,182.44,Air,353.3,Delivered,5.0
ORD00080,2023-04-06,Los Angeles,Denver,62.36,Train,212.02,In Transit,
ORD00081,2023-02-10,Los Angeles,Denver,432.24,Air,1328.14,Delayed,1.0
ORD00082,2023-08-03,New York,Atlanta,313.53,Train,526.36,Delivered,2.0
ORD00083,2023-11-21,Houston,Denver,168.79,Air,394.15,Delivered,4.0
ORD00084,2023-05-05,New York,Atlanta,36.46,Train,118.8,In Transit,5.0
ORD00085,2023-09-05,Phoenix,Seattle,158.94,Truck,538.72,Delivered,4.0
ORD00086,2023-04-18,Phoenix,Denver,165.97,Train,404.1,Delivered,4.0
ORD00087,2023-10-09,Los Angeles,Boston,366.16,Van,998.45,Delivered,3.0
ORD00088,2023-12-20,New York,Miami,320.59,Air,587.98,Delivered,5.0
ORD00089,2023-11-24,Houston,Denver,444.17,Air,1546.75,Delayed,5.0
ORD00090,2023-08-16,New York,Miami,238.75,Truck,468.75,In Transit,4.0
ORD00091,2023-12-06,Houston,Miami,64.2,Train,217.35,Delivered,5.0
ORD00092,2023-03-05,Chicago,Seattle,358.06,Air,1002.31,Delivered,5.0
ORD00093,2023-06-11,Los Angeles,Denver,381.59,Train,1036.2,Delivered,4.0
ORD00094,2023-12-30,Chicago,Seattle,282.83,Air,714.25,Delivered,4.0
ORD00095,2023-01-15,Los Angeles,Denver,386.63,Train,758.31,Delivered,4.0
ORD00096,2023-07-17,New York,Atlanta,249.43,Truck,462.21,Delivered,5.0
ORD00097,2023-11-22,Phoenix,Denver,263.75,Truck,511.93,Delivered,4.0
ORD00098,2023-06-12,Phoenix,Atlanta,216.63,Air,405.72,Delayed,5.0
ORD00099,2023-11-02,Chicago,Miami,17.58,Air,53.78,Delivered,5.0
ORD00100,2023-10-17,Los Angeles,Boston,58.41,Air,128.52,Delivered,4.0
ORD00101,2023-05-03,New York,Seattle,20.56,Air,33.22,Delivered,5.0
ORD00102,2023-07-07,Los Angeles,Boston,320.02,Truck,1100.29,Delivered,4.0
ORD00103,2023-07-22,Phoenix,Denver,160.61,Van,524.8,Cancelled,3.0
ORD00104,2023-08-06,New York,Atlanta,256.74,Truck,861.49,Delivered,5.0
ORD00105,2023-07-20,Phoenix,Boston,454.25,Train,1585.25,In Transit,
ORD00106,2023-09-17,New York,Boston,128.4,Train,237.26,Cancelled,4.0
ORD00107,2023-04-02,Los Angeles,Miami,208.14,Train,477.16,Delivered,
ORD00108,2023-01-19,New York,Miami,379.0,Truck,1143.24,Delayed,5.0
ORD00109,2023-04-24,Los Angeles,Atlanta,118.26,Train,342.01,Delayed,4.0
ORD00110,2023-11-08,New York,Denver,43.11,Air,77.93,Delivered,5.0
ORD00111,2023-03-24,Houston,Atlanta,148.43,Truck,464.83,In Transit,3.0
ORD00112,2023-07-12,Chicago,Miami,84.8,Truck,165.27,Delivered,4.0
ORD00113,2023-01-26,Los Angeles,Denver,465.2,Train,906.04,Delivered,3.0
ORD00114,2023-04-07,Los Angeles,Seattle,405.02,Air,,In Transit,5.0
ORD00115,2023-11-05,New York,Boston,318.53,Train,855.53,Delivered,5.0
ORD00116,2023-07-22,Chicago,Atlanta,436.37,Train,1160.82,Delayed,3.0
ORD00117,2023-10-09,Los Angeles,Boston,402.82,Truck,677.94,In Transit,4.0
ORD00118,2023-04-14,Phoenix,Atlanta,97.35,Train,316.87,Delivered,5.0
ORD00119,2023-06-09,Los Angeles,Denver,446.82,Van,907.58,In Transit,2.0
ORD00120,2023-09-25,Houston,Boston,271.97,Van,478.4,Delivered,5.0
ORD00121,2023-01-21,Los Angeles,Miami,404.68,Truck,1326.34,Delivered,5.0
ORD00122,2023-07-25,Phoenix,Boston,448.57,Truck,1530.21,Delayed,4.0
ORD00123,2023-07-31,Phoenix,Atlanta,162.41,Van,523.65,Delivered,5.0
ORD00124,2023-06-22,Phoenix,Miami,59.48,Train,185.52,Delivered,4.0
ORD00125,2023-10-26,Chicago,Atlanta,117.83,Truck,331.16,Delivered,5.0
ORD00126,2023-09-13,New York,Miami,216.42,Van,563.06,Delivered,5.0
ORD00127,2023-08-25,Phoenix,Miami,409.92,Air,686.2,Delayed,5.0
ORD00128,2023-03-24,Houston,Denver,431.06,Van,998.73,Delivered,3.0
ORD00129,2023-08-03,Phoenix,Boston,8.44,Truck,18.95,Delivered,5.0
ORD00130,2023-10-08,Houston,Atlanta,257.82,Truck,520.67,Delivered,4.0
ORD00131,2023-08-14,New York,Boston,211.62,Truck,623.61,Delivered,3.0
ORD00132,2023-06-11,Phoenix,Denver,114.94,Train,286.4,Delivered,1.0
ORD00133,2023-04-09,New York,Atlanta,64.33,Truck,106.92,In Transit,4.0
ORD00134,2023-12-31,Los Angeles,Atlanta,172.12,Air,333.98,Delivered,4.0
ORD00135,2023-11-10,Phoenix,Boston,471.74,Truck,1352.25,Delivered,5.0
ORD00136,2023-03-20,Los Angeles,Atlanta,164.99,Train,272.61,Delivered,5.0
ORD00137,2023-04-19,New York,Atlanta,261.8,Truck,838.39,Delivered,2.0
ORD00138,2023-04-21,Chicago,Seattle,352.99,Train,879.05,Delivered,5.0
ORD00139,2023-04-01,Chicago,Atlanta,185.0,Truck,455.32,Delivered,3.0
ORD00140,2023-09-16,New York,Atlanta,486.03,Air,1304.9,Delivered,5.0
ORD00141,2023-10-30,Chicago,Denver,481.41,Truck,1516.13,Cancelled,5.0
ORD00142,2023-12-09,New York,Denver,129.63,Air,284.62,Delivered,4.0
ORD00143,2023-08-21,Los Angeles,Miami,251.14,Van,717.26,Delivered,5.0
ORD00144,2023-02-19,New York,Atlanta,153.93,Van,405.06,Delivered,4.0
ORD00145,2023-04-05,Phoenix,Atlanta,146.0,Van,296.97,Delivered,4.0
ORD00146,2023-07-30,Chicago,Denver,23.26,Van,75.76,Delivered,5.0
ORD00147,2023-06-11,Phoenix,Miami,306.73,Van,949.28,Delayed,4.0
ORD00148,2023-01-30,New York,Miami,253.83,Truck,715.01,Delayed,4.0
ORD00149,2023-01-15,Phoenix,Boston,30.48,Train,97.57,Delayed,4.0
ORD00150,2023-12-30,Phoenix,Boston,142.93,Truck,462.32,In Transit,5.0
